round,model,score,rank
42,C_AMPs-predict,0.5910823588,5
42,macrel,0.5838261392,6
42,esm-AxP-GDL,0.5553355822,7
42,amplify_bal,0.5442049084,8
42,pepnet_fast,0.5414641504,9
42,ascan2,0.4842448965,10
42,lstm,0.4741881071,11
42,ai4amp,0.4696306449,12
42,iampcn,0.4684231567,13
42,apin,0.461413861,14
42,amPEPpy,0.3244147668,15
42,ampir,0.2904673672,16
42,apex1.1,0.2034016577,17
42,iamp-ca2l,0.0298523519,18
43,AMPsorter,0.8942573594,1
43,amplify_imb,0.8301608072,2
43,HMD-AMP,0.8159371748,3
43,esm-AxP-GDL,0.7391634145,4
43,pepnet_standard,0.737564212,5
43,pepnet_fast,0.5831880938,6
43,C_AMPs-predict,0.5796202994,7
43,iampcn,0.5743328867,8
43,macrel,0.4950692085,9
43,lstm,0.4870289394,10
43,amplify_bal,0.4777314698,11
43,ai4amp,0.4126933466,12
43,apin,0.3640472837,13
43,amPEPpy,0.3381020566,14
43,ascan2,0.2673550338,15
43,apex1.1,0.2147731654,16
43,ampir,0.1790638687,17
43,iamp-ca2l,0.0099113798,18
44,pepnet_standard,0.7615152672,1
44,amplify_bal,0.7078119157,2
44,ascan2,0.7070539384,3
44,C_AMPs-predict,0.6911843592,4
44,HMD-AMP,0.681174949,5
44,macrel,0.6715257651,6
44,pepnet_fast,0.5642967474,7
44,amplify_imb,0.5474018425,8
44,apin,0.527321241,9
44,ai4amp,0.522392808,10
44,AMPsorter,0.4474020493,11
44,lstm,0.4332037253,12
44,ampir,0.4200235404,13
44,amPEPpy,0.3806068963,14
44,esm-AxP-GDL,0.341639632,15
44,iampcn,0.2845349786,16
44,apex1.1,0.2609347161,17
44,iamp-ca2l,0.0499756285,18
45,AMPsorter,0.8223790076,1
45,amplify_imb,0.8065375105,2
45,pepnet_standard,0.722701505,3
45,esm-AxP-GDL,0.7097150927,4
