round,metric,weight,coverage,separation,consistency,consensus,uniqueness,committee_support
35,AUROC,0.0810622614,1.0,0.474971,0.704162,0.974038,0.287233,0.62263
35,BalancedAccuracy,0.0788372762,1.0,0.468815,0.692466,0.988769,0.261372,0.609187
35,BrierScore,0.0788808835,1.0,0.492283,0.737874,0.98279,0.271372,0.626967
35,ECE,0.0828115955,1.0,0.509343,0.772274,0.908628,0.396269,0.676443
35,F1-Score,0.0787450143,1.0,0.472445,0.699346,0.984594,0.268091,0.613927
35,MCC,0.079551551,1.0,0.48775,0.72893,0.989285,0.261239,0.620367
35,NPV,0.0912875291,1.0,0.547812,0.854145,0.741862,0.538268,0.714985
35,Precision,0.0887767876,1.0,0.551852,0.863089,0.738591,0.541207,0.717677
35,Recall,0.0904929376,1.0,0.551349,0.862158,0.680314,0.591209,0.718278
35,Specificity,0.0893320508,1.0,0.559234,0.879601,0.710242,0.553865,0.720009
36,ACC,0.0791669179,1.0,0.610053,1.0,0.987282,0.247853,0.683598
36,AUPRC,0.0811818175,1.0,0.610368,1.0,0.97163,0.274937,0.695769
36,AUROC,0.0811908296,1.0,0.610368,1.0,0.962194,0.291263,0.70247
36,BalancedAccuracy,0.0789781039,1.0,0.610368,1.0,0.986488,0.249226,0.684314
36,BrierScore,0.0790009747,1.0,0.610368,1.0,0.987844,0.246881,0.683209
36,ECE,0.0831151436,1.0,0.610368,1.0,0.916479,0.370351,0.729903
36,F1-Score,0.0788467543,1.0,0.610368,1.0,0.990827,0.241721,0.680739
36,MCC,0.0795577833,1.0,0.610368,1.0,0.990718,0.241908,0.68083
36,NPV,0.0910724285,1.0,0.610368,1.0,0.723152,0.595257,0.76543
36,Precision,0.0885265936,1.0,0.610368,1.0,0.796416,0.460991,0.741455
36,Recall,0.0903728793,1.0,0.610368,1.0,0.669737,0.64264,0.765408
36,Specificity,0.0889897738,1.0,0.610368,1.0,0.775049,0.467934,0.739641
37,ACC,0.0790448562,1.0,0.528119,0.811908,0.971648,0.274961,0.648341
37,AUPRC,0.0812926224,1.0,0.558623,0.878225,0.950276,0.314528,0.681156
37,AUROC,0.081556865,1.0,0.578164,0.922945,0.940409,0.332245,0.698876
37,BalancedAccuracy,0.0791582275,1.0,0.564405,0.891297,0.974654,0.270604,0.667666
37,BrierScore,0.07903582,1.0,0.531345,0.818369,0.959017,0.295363,0.657812
37,ECE,0.0829820017,1.0,0.517001,0.788098,0.898547,0.398093,0.68033
37,F1-Score,0.0788257292,1.0,0.537102,0.830753,0.973333,0.272696,0.65267
37,MCC,0.0795466839,1.0,0.564707,0.891985,0.986044,0.250721,0.659255
37,NPV,0.0908955062,1.0,0.587545,0.94496,0.804938,0.507757,0.743318
37,Precision,0.0884684339,1.0,0.585506,0.940144,0.815244,0.463249,0.730408
37,Recall,0.090244537,1.0,0.574866,0.915978,0.699208,0.606261,0.740873
37,Specificity,0.0889487169,1.0,0.591025,0.953216,0.777453,0.491185,0.735433
38,ACC,0.0789321952,1.0,0.465293,0.68594,0.92533,0.312294,0.620833
38,AUPRC,0.0816321383,1.0,0.496431,0.74613,0.942644,0.382803,0.668651
38,AUROC,0.0817052776,1.0,0.459984,0.675955,0.914313,0.434191,0.658093
38,BalancedAccuracy,0.0794931605,1.0,0.479268,0.712418,0.956936,0.358907,0.651382
38,BrierScore,0.0787832222,1.0,0.451359,0.660131,0.927339,0.309432,0.611492
38,ECE,0.0824670541,1.0,0.46845,0.691778,0.911916,0.323955,0.625481
38,F1-Score,0.0793545666,1.0,0.503947,0.761266,0.962384,0.343283,0.661583
38,MCC,0.0799463275,1.0,0.501567,0.75645,0.965145,0.338781,0.658756
38,NPV,0.0910854798,1.0,0.572521,0.909873,0.661641,0.62268,0.735075
38,Precision,0.0879413118,1.0,0.519639,0.793602,0.849351,0.380552,0.668284
38,Recall,0.0902095091,1.0,0.565312,0.893822,0.598467,0.617934,0.714997
38,Specificity,0.0884497572,1.0,0.527472,0.810114,0.809191,0.402158,0.673967
39,ACC,0.0789448287,1.0,0.52824,0.811908,0.942717,0.304409,0.657712
